City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,novo oriente,-5.5344,-40.7742,29.505000000000003,76,53,1.51,BR,1720327046
204,ntcheu,-14.8203,34.6359,28.594,48,0,1.27,MW,1720327047
205,coquimbo,-29.9533,-71.3436,28.4,87,100,1.54,CL,1720326892
206,fernie,49.5,-115.0687,29.426,70,89,2.64,CA,1720327050
207,homer,59.6425,-151.5483,28.608999999999998,79,100,4.12,US,1720327052
208,angaur state,6.906,134.13,30.171,76,53,2.68,PW,1720327054
209,georgetown,5.4112,100.3354,30.412,62,40,1.54,MY,1720327055
210,remire-montjoly,4.9167,-52.2667,29.917,94,100,0.51,GF,1720326874
211,antonio enes,-16.2325,39.9086,29.492,73,2,2.57,MZ,1720326990
212,kiunga,-6.1219,141.2906,29.939,94,100,0.85,PG,1720327060
213,inyonga,-6.7167,32.0667,28.974,56,98,1.74,TZ,1720327061
214,castel goffredo,45.2986,10.4754,29.516000000000002,83,46,2.06,IT,1720326929
215,jiwani,25.05,61.7417,30.320999999999998,79,100,4.6,PK,1720327065
216,nova sintra,14.8667,-24.7167,29.345,86,98,2.33,CV,1720327066
217,imperial,33.0334,-115.4175,31.026999999999997,37,0,5.53,US,1720327068
218,kimbe,-5.5502,150.1429,30.176,71,91,5.28,PG,1720327069
219,luza,60.6308,47.2512,29.214,63,0,2.11,RU,1720327073
220,faya-largeau,17.9257,19.1043,30.470999999999997,24,23,3.44,TD,1720327074
221,bardai,11.65,7.2333,29.607999999999997,86,100,3.99,NG,1720327076
222,dzhalagash,45.0833,64.6667,30.201,39,12,5.37,KZ,1720327078
223,kone,-21.0595,164.8658,29.532,46,15,4.78,NC,1720327079
224,valparaiso,-33.0393,-71.6273,28.267000000000003,70,0,2.57,CL,1720327081
225,iskateley,67.6803,53.1512,28.869,83,99,5.86,RU,1720327082
226,whitehorse,60.7161,-135.0538,29.458,37,20,3.6,CA,1720326794
227,miles city,46.4083,-105.8406,28.969,77,100,3.6,US,1720327086
228,puerto colombia,10.9878,-74.9547,30.119999999999997,80,95,6.93,CO,1720327088
229,parauapebas,-6.0675,-49.9022,29.498,53,18,0.42,BR,1720327091
230,bathsheba,13.2167,-59.5167,30.149,83,20,8.23,BB,1720327092
231,boguchany,58.3814,97.4531,30.555,36,16,1.29,RU,1720327094
232,farafangana,-22.8167,47.8333,29.151,70,2,2.59,MG,1720327095
233,vorkuta,67.5,64.0,29.294999999999998,58,99,4.98,RU,1720326930
234,rio grande,-32.035,-52.0986,28.095999999999997,73,89,2.49,BR,1720327099
235,markovo,57.3206,107.0881,30.444,26,55,1.19,RU,1720327101
236,ust'-ilimsk,58.0006,102.6619,30.546,29,36,2.2,RU,1720327104
237,cockburn town,21.4612,-71.1419,30.122000000000003,88,70,8.46,TC,1720327105
238,malakal,9.5334,31.6605,29.687,83,99,1.84,SS,1720327107
239,imbert,19.7537,-70.8291,29.925,84,100,1.75,DO,1720327108
240,funafuti,-8.5243,179.1942,30.314999999999998,79,75,1.03,TV,1720327110
241,pisco,-13.7,-76.2167,28.918,88,19,4.63,PE,1720327111
242,inongo,-1.95,18.2667,29.355,81,89,1.24,CD,1720327113
243,panaba,21.2833,-88.2667,29.76,94,100,2.17,MX,1720327114
244,mikkeli,61.6886,27.2723,29.121,72,0,4.12,FI,1720327116
245,severo-yeniseyskiy,60.3725,93.0408,29.457,54,77,2.12,RU,1720327117
246,crane,31.3974,-102.3501,29.991000000000003,49,22,5.83,US,1720327119
247,cox's bazar,21.4532,91.9798,30.344,75,100,4.81,BD,1720327120
248,puerto deseado,-47.7503,-65.8938,27.458,78,9,5.48,AR,1720327122
249,prince rupert,54.3161,-130.3201,28.72,88,0,8.75,CA,1720327125
250,rongelap,11.1635,166.8941,30.127999999999997,80,29,7.37,MH,1720327126
251,san antonio de pale,-1.4014,5.6325,29.595999999999997,87,100,6.99,GQ,1720327128
252,tazacorte,28.629,-17.9293,29.369,96,100,6.69,ES,1720327129
253,coahuayana de hidalgo,18.7,-103.6583,29.829,89,19,1.17,MX,1720327131
254,strezhevoy,60.7333,77.5889,29.375999999999998,40,83,4.69,RU,1720327132
255,boende,-0.2167,20.8667,29.518,90,99,1.16,CD,1720327134
256,pumiao,22.75,108.4833,30.537,68,71,4.71,CN,1720327135
257,nagqu,31.5,92.0,29.083999999999996,41,90,5.03,CN,1720327137
258,boleslawiec,51.2642,15.5697,28.948,87,100,2.51,PL,1720327138
259,demyansk,57.643,32.466,29.243000000000002,73,76,4.39,RU,1720327140
260,alice springs,-23.7,133.8833,29.389999999999997,56,63,2.57,AU,1720327141
261,anupgarh,29.1911,73.2086,30.979000000000003,44,88,4.06,IN,1720327143
262,chiang kham,19.5233,100.3,30.741000000000003,63,29,1.52,TH,1720327144
263,barguzin,53.6167,109.6167,30.519,36,24,0.53,RU,1720327146
264,northam,51.0333,-4.2167,28.46,92,100,2.77,GB,1720327147
265,chonchi,-42.6128,-73.8092,27.970999999999997,96,95,0.39,CL,1720327148
266,magadan,59.5667,150.8,28.633999999999997,83,100,3.32,RU,1720327150
267,tandil,-37.3217,-59.1332,27.352999999999998,75,13,3.09,AR,1720327151
268,akjoujt,19.6969,-14.4164,30.107,50,28,4.98,MR,1720327152
269,kapuskasing,49.4169,-82.4331,29.119999999999997,77,0,1.54,CA,1720327154
270,bandon,51.7469,-8.7425,28.292,91,49,1.99,IE,1720327157
271,aasiaat,68.7098,-52.8699,27.625,92,100,0.84,GL,1720327159
272,archangelos,36.2149,28.1149,30.014,42,0,1.91,GR,1720327161
273,fale old settlement,-9.3852,-171.2468,30.166000000000004,72,17,2.77,TK,1720327162
274,mont-dore,-22.2833,166.5833,29.613999999999997,52,58,4.78,NC,1720327164
275,palmer,42.1584,-72.3287,29.788,77,75,2.06,US,1720327165
276,dunedin,-45.8742,170.5036,28.360000000000003,66,98,7.15,NZ,1720327166
277,baie-comeau,49.2168,-68.1489,28.697000000000003,94,75,2.06,CA,1720327168
278,enewetak,11.3474,162.3373,30.2,78,38,6.62,MH,1720327169
279,san felipe,10.3399,-68.7425,29.466,98,68,1.18,VE,1720327170
280,namibe,-15.1961,12.1522,28.917,87,2,2.23,AO,1720327173
281,almeirim,-1.5233,-52.5817,29.672000000000004,86,53,2.06,BR,1720327175
